pid,front_color,back_color
200500213,하양,하양
200500215,노랑,노랑
200301239,빨강,
200401756,하양,
199301099,초록,연두
200500216,노랑,
200500222,하양,
200500230,하양,
199801127,하양,
199801128,노랑,
198900881,연두,
198300475,주황,
200500227,주황,하양
200500231,노랑,
200101633,하양,
200101634,하양,
199401165,보라,하양
199500827,초록,
198900882,초록,
198900883,주황,
199701303,분홍,하양
200401712,파랑,
199801206,하양,
200201347,하양,
199301220,하양,하양
200401262,갈색,
200402529,하양,
199001012,주황,주황
200401276,하양,
199801229,노랑,
200401747,초록,
200401754,노랑,
200604249,파랑,파랑
200300929,노랑,노랑
200300932,파랑,파랑
199801222,남색,하양
200001782,주황,
199806909,분홍,
200009634,노랑,
200001474,하양,
200002939,하양,
200002940,초록,
200002949,하양,
200301201,주황,
200301216,갈색,분홍
200300921,하양,
200300923,청록,
200401257,노랑,
200501168,주황,하양
200501169,하양,
200600251,하양,
200200955,갈색,
199601095,하양,
200001472,갈색,
200001773,하양,
199601084,하양,
200301238,갈색,
200501017,갈색,
199901458,초록,하양
200401304,초록,
200401307,주황,
200401318,갈색,갈색
200501215,빨강,노랑
198600628,빨강,투명
198700706,하양,
198700707,하양,
199400891,분홍,
200200972,분홍,분홍
199701347,초록,연두
199801292,노랑,
200101569,파랑,하양
200101575,노랑,노랑
199901095,하양,
199901096,하양,
199601435,노랑,
199601437,주황,
200501183,초록,
200501194,파랑,
200100972,파랑,
199801576,갈색,갈색
199001070,빨강,
200401353,하양,
197800293,초록,하양
200100979,하양,
200401359,하양,
200401366,초록,노랑
200401367,하양,
200201054,주황,
200301019,초록,초록
199701413,갈색,갈색
200401369,하양,
200401370,하양,
