pid,shape
199701647,타원형
199901480,장방형
200201375,장방형
200001796,장방형
200301228,장방형
197900277,삼각형
200403634,장방형
200808280,장방형
200401991,장방형
199401091,원형
199401092,장방형
199401093,장방형
199201460,장방형
199001301,원형
200501778,원형
199901457,장방형
199701631,장방형
199701633,장방형
198901021,장방형
200101546,장방형
199801143,장방형
200100982,원형
200100984,원형
199901218,장방형
200308585,원형
199201469,장방형
200301225,장방형
200401725,장방형
200401726,장방형
200501568,원형
200600346,원형
199200975,장방형
199801134,타원형
200501660,장방형
200501664,타원형
197900284,원형
198801091,장방형
199401100,타원형
199801473,원형
200401717,장방형
200501551,타원형
200401720,원형
200501552,기타
200101889,장방형
200201615,장방형
200807418,타원형
200500239,원형
200300131,기타
200607668,타원형
200607669,타원형
200807410,장방형
200401705,원형
200500244,타원형
200101530,장방형
200300133,원형
200512235,장방형
200101539,원형
199700262,장방형
199700263,장방형
199700265,장방형
200501678,장방형
200201181,장방형
200301110,원형
200301112,타원형
200705320,장방형
198700809,원형
200100175,원형
200300121,원형
200300122,원형
200401519,장방형
200401520,장방형
200501364,타원형
200607890,원형
200704530,팔각형
200704626,장방형
200505665,원형
200400160,원형
200300130,장방형
200101543,원형
200807381,장방형
199701662,장방형
198700921,원형
200201182,원형
200401849,원형
198800175,원형
199900151,장방형
199201712,장방형
200100157,원형
200100162,원형
200001827,원형
200501573,장방형
200501579,장방형
200401742,원형
197600345,원형
200501789,기타
200502251,장방형
200502251,장방형
200502252,장방형
200502259,장방형
199701641,장방형
200501560,장방형
199301646,장방형
200001785,원형
200605450,원형
200202266,원형
200502304,타원형
200502306,원형
200502310,장방형
200202315,장방형
200101515,장방형
200101517,장방형
199802497,장방형
200102679,타원형
200803201,장방형
199201837,장방형
200807469,타원형
200000597,원형
200001750,장방형
200703172,원형
200300796,원형
199702378,원형
199702406,원형
199702409,원형
201705220,타원형
200401185,기타
200300855,장방형
201800185,원형
200200896,장방형
200400231,원형
200400233,장방형
199400517,원형
200300843,타원형
200300847,장방형
200300854,원형
200401184,장방형
199600301,원형
200200909,원형
200001400,장방형
198900871,장방형
200300840,장방형
199500850,원형
200703858,타원형
200300851,장방형
200500317,타원형
200401156,원형
200500320,원형
200000431,장방형
200301663,원형
200101010,원형
200705818,타원형
200401161,장방형
200401171,원형
200401172,타원형
200100997,타원형
199500848,원형
200807429,타원형
200400225,원형
200400228,원형
200400229,원형
200503319,장방형
200600724,장방형
200404217,기타
200009502,원형
200203727,원형
199804309,타원형
